FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3005,Executive,0000,,1 00,9,9901,Mayor,Annual,1,1,216210.00,216210.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,66300.00,66300.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3005,Executive,0000,,1 00,0,9637,Administrative Assistant,Annual,1,1,53295.00,53295.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3005,Executive,0000,,1 00,9,9617,Administrative Secretary,Annual,1,1,82500.00,82500.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9899,Chief of Staff,Annual,1,1,195000.00,195000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,185004.00,185004.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,154992.00,154992.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,122400.00,122400.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9896,Chief Financial Officer,Annual,1,1,169992.00,169992.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,92028.00,92028.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,180000.00,180000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,80004.00,80004.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,86700.00,86700.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,70002.00,70002.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,59160.00,59160.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,57000.00,57000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,50004.00,50004.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,56100.00,56100.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,50004.00,50004.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9876,Scheduler,Annual,1,1,56112.00,56112.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9876,Scheduler,Annual,1,1,51000.00,51000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9684,Deputy Director,Annual,1,1,137700.00,137700.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,185004.00,185004.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,180000.00,180000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,154998.00,154998.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,136002.00,136002.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,130002.00,130002.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000.00
Local,1,MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0000,,1 00,9,9639,Assistant to Mayor,Annual,1,1,112284.00,112284.00
