FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3225,GIS,0,,1 00,9,9777,IT Director (DoIT),Annual,1,1,93912.00,93912.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3225,GIS,0,,BX 15,10,653,Web Author,Annual,1,1,84780.00,84780.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3225,GIS,0,,3 00,10,648,Web Developer,Annual,1,1,79464.00,79464.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3005,Administration,0,,B 10,1,431,Clerk IV,Annual,1,1,63456.00,63456.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,B 13,1,1617,Paralegal II,Annual,1,1,49788.00,49788.00
CDBG,0K39,CDBG,31,DEPARTMENT OF LAW,1005,2515,CODE ENFORCEMENT,3515,Code Enforcement,0,,B 09,1,1692,Court File Clerk,Annual,1,1,55212.00,55212.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9876,Scheduler,Annual,1,1,50004.00,50004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 00,9,9901,Mayor,Annual,1,1,216210.00,216210.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,48000.00,48000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3005,Executive,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,74988.00,74988.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,154992.00,154992.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,120000.00,120000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9896,Chief Financial Officer,Annual,1,1,169992.00,169992.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9891,Administrative Assistant - Office Administrator,Annual,1,1,85596.00,85596.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9889,First Deputy Chief of Staff,Annual,1,1,154992.00,154992.00
Local,100,CORPORATE FUND,27,FINANCE,1005,2011,CITY COMPTROLLER,3012,Personnel,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,66492.00,66492.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,90000.00,90000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,60000.00,60000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,80904.00,80904.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,51492.00,51492.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,49512.00,49512.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9881,Assistant Administrative Secretary I,Annual,2,1,44004.00,88008.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9876,Scheduler,Annual,1,1,68748.00,68748.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9876,Scheduler,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,162492.00,162492.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,159492.00,159492.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,124992.00,124992.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,118008.00,118008.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,88002.00,88002.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,71778.00,71778.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,68748.00,68748.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,62796.00,62796.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,56532.00,56532.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,3,1,44004.00,132012.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,48000.00,48000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,111000.00,111000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,93996.00,93996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,50004.00,50004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,44004.00,44004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,104400.00,104400.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,99996.00,99996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,94992.00,94992.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,93000.00,93000.00
